x	y
1.4425e7	2.0e-11
1.4475e7	0.0
1.4525e7	0.0
1.4575e7	0.0
1.4625e7	2.0e-11
1.4675e7	0.0
1.4725e7	2.0e-11
1.4775e7	2.0e-11
1.4825e7	0.0
1.4875e7	0.0
1.4925e7	0.0
1.4975e7	0.0
1.5025e7	0.0
1.5075e7	2.0e-11
1.5125e7	0.0
1.5175e7	2.0e-11
1.5225e7	2.0e-11
1.5275e7	0.0
1.5325e7	6.0e-11
1.5375e7	2.0e-11
1.5425e7	2.0e-11
1.5475e7	4.0e-11
1.5525e7	2.0e-11
1.5575e7	2.0e-11
1.5625e7	0.0
1.5675e7	6.0e-11
1.5725e7	8.0e-11
1.5775e7	2.0e-11
1.5825e7	2.0e-11
1.5875e7	0.0
1.5925e7	4.0e-11
1.5975e7	6.0e-11
1.6025e7	8.0e-11
1.6075e7	1.2e-10
1.6125e7	4.0e-11
1.6175e7	1.6e-10
1.6225e7	2.0e-11
1.6275e7	6.0e-11
1.6325e7	1.2e-10
1.6375e7	1.2e-10
1.6425e7	1.2e-10
1.6475e7	1.4e-10
1.6525e7	2.6e-10
1.6575e7	1.2e-10
1.6625e7	1.4e-10
1.6675e7	2.4e-10
1.6725e7	2.8e-10
1.6775e7	1.8e-10
1.6825e7	2.4e-10
1.6875e7	2.8e-10
1.6925e7	8.0e-11
1.6975e7	3.0e-10
1.7025e7	3.4e-10
1.7075e7	2.8e-10
1.7125e7	3.2e-10
1.7175e7	4.0e-10
1.7225e7	4.8e-10
1.7275e7	4.8e-10
1.7325e7	4.6e-10
1.7375e7	5.2e-10
1.7425e7	4.6e-10
1.7475e7	5.8e-10
1.7525e7	6.8e-10
1.7575e7	9.0e-10
1.7625e7	6.2e-10
1.7675e7	5.6e-10
1.7725e7	8.8e-10
1.7775e7	9.4e-10
1.7825e7	1.08e-9
1.7875e7	1.04e-9
1.7925e7	1.14e-9
1.7975e7	1.04e-9
1.8025e7	1.12e-9
1.8075e7	1.46e-9
1.8125e7	1.58e-9
1.8175e7	1.54e-9
1.8225e7	1.3e-9
1.8275e7	1.58e-9
1.8325e7	1.72e-9
1.8375e7	1.74e-9
1.8425e7	2.1e-9
1.8475e7	2.28e-9
1.8525e7	2.3e-9
1.8575e7	2.46e-9
1.8625e7	2.42e-9
1.8675e7	2.76e-9
1.8725e7	3.18e-9
1.8775e7	2.68e-9
1.8825e7	2.86e-9
1.8875e7	3.58e-9
1.8925e7	3.5e-9
1.8975e7	3.74e-9
1.9025e7	3.66e-9
1.9075e7	4.22e-9
1.9125e7	4.16e-9
1.9175e7	4.64e-9
1.9225e7	4.48e-9
1.9275e7	5.04e-9
1.9325e7	5.16e-9
1.9375e7	6.1e-9
1.9425e7	5.88e-9
1.9475e7	6.6e-9
1.9525e7	6.8e-9
1.9575e7	6.88e-9
1.9625e7	6.92e-9
1.9675e7	7.24e-9
1.9725e7	8.16e-9
1.9775e7	8.54e-9
